P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,Responden
-0.3666,-0.2036,-0.0898,0.1842,0.3204,0.41,0.7603,0.5945,0.2809,-1.2877,-1.0,-0.866,R184
0.4565,0.1457,-0.2013,0.1315,0.0584,0.5244,-0.6719,-0.2325,-0.2953,-1.2877,1.0,-0.866,R185
-0.3666,-0.4131,-0.257,0.0263,0.2768,0.41,0.7603,0.6334,0.3529,-1.2877,-1.0,-0.866,R186
-0.0922,0.1457,0.2448,-0.0263,-0.3346,0.2195,-0.6719,-0.4465,0.0648,-1.2877,-1.0,-0.866,R187
0.0175,0.1457,0.1891,-0.0789,-0.1599,0.2195,-0.6585,-0.3297,-0.1513,-1.2877,-1.0,-0.866,R188
-0.0922,-0.5528,0.0775,0.4473,-0.4656,-0.1617,-0.8191,-0.6897,0.0648,-1.2877,-1.0,-0.866,R189
-1.1347,-1.2513,-0.034,0.1842,0.0584,0.2195,-1.1672,-0.573,-0.5114,-1.2877,-1.0,-0.866,R190
-0.3666,-0.0639,-0.5916,-0.0789,-0.2909,0.2957,0.3721,0.1567,-0.1513,-1.2877,1.0,-0.866,R191
-0.0922,-0.5528,-0.7032,0.4999,0.2768,0.2576,-0.3641,-0.3784,-1.5918,-1.2877,1.0,-0.866,R192
-0.3666,-1.9498,-1.0377,-0.0789,-0.1599,-0.238,-0.5247,-0.2325,-0.1513,-1.2877,1.0,-0.866,R193
-0.9153,-0.5528,-0.2013,0.1842,0.1894,-0.238,-0.6987,-0.7189,-0.9435,0.7766,1.0,-0.866,R194
-1.1896,-0.5528,0.0218,-0.8682,0.2768,0.1813,-2.0104,-1.1178,-1.0156,0.7766,-1.0,1.1547,R195
-0.3666,-0.2036,-1.3166,-0.6051,0.2768,0.2195,-1.7427,-1.1178,-0.1513,0.7766,-1.0,-0.866,R196
0.1821,0.006,-0.3128,-0.4473,-0.1599,-0.0093,-1.1002,-0.573,-0.0792,0.7766,-1.0,1.1547,R197
0.0724,0.2854,0.0775,-0.0789,0.1021,0.3338,-0.5515,-0.1741,-0.0072,-1.2877,1.0,1.1547,R198
0.0724,-0.2036,0.1891,-0.2894,0.4514,0.1813,-1.1672,-0.4659,-0.0792,-1.2877,-1.0,-0.866,R199
0.0724,0.2854,0.0218,-0.0789,-0.3783,-0.4667,-0.9664,-0.5049,-0.3673,0.7766,1.0,-0.866,R200
0.5113,0.3552,-0.2013,-0.342,-0.1162,0.41,0.3721,-0.6411,0.1368,0.7766,-1.0,1.1547,R201
0.5113,1.1236,1.0813,0.4999,0.4951,0.7912,0.1981,0.3999,0.2809,0.7766,-1.0,-0.866,R202
0.5113,0.2854,0.3006,-0.0789,0.1894,-0.1998,-1.2341,-0.5924,0.0648,-1.2877,-1.0,-0.866,R203
-0.3666,-0.1337,0.1333,0.4999,0.7135,0.5244,-0.5247,-0.4659,0.713,-1.2877,-1.0,-0.866,R204
1.2246,0.8442,0.5237,0.8156,0.7135,0.5625,0.4926,0.7015,1.4333,0.7766,-1.0,-0.866,R205
0.7857,0.7743,0.8582,1.0261,0.5825,0.4482,0.6666,0.6528,1.1452,-1.2877,-1.0,-0.866,R206
0.7308,1.0537,1.1371,0.763,0.5388,0.6387,0.6666,0.6528,1.4333,-1.2877,-1.0,-0.866,R207
0.5113,-0.2036,-0.7032,0.6577,0.5388,0.715,0.0509,0.5945,1.1452,-1.2877,-1.0,-0.866,R208
0.3467,0.1457,0.8582,1.1839,0.3641,0.4863,-0.3641,-0.1644,0.8571,-1.2877,-1.0,-0.866,R209
0.7308,0.7045,0.2448,1.0261,0.8445,0.9437,0.0776,0.2831,1.4333,0.7766,-1.0,-0.866,R210
